ABUNDANCE,BIOMAS,GENUS_SPECIES,SAMPLE_DESC,PLOT,LATITUDE,LONGITUDE,DAY,MONTH,YEAR
48,0,"Anaxyrus sp",2008,,32.260000,-81.630000,1,1,2008
25,0,"Eurycea quadridigitatta",1979,,32.260000,-81.630000,1,1,1979
136,0,"Eurycea quadridigitatta",1980,,32.260000,-81.630000,1,1,1980
22,0,"Eurycea quadridigitatta",1981,,32.260000,-81.630000,1,1,1981
127,0,"Eurycea quadridigitatta",1982,,32.260000,-81.630000,1,1,1982
357,0,"Eurycea quadridigitatta",1983,,32.260000,-81.630000,1,1,1983
1499,0,"Eurycea quadridigitatta",1984,,32.260000,-81.630000,1,1,1984
11236,0,"Eurycea quadridigitatta",1985,,32.260000,-81.630000,1,1,1985
843,0,"Eurycea quadridigitatta",1986,,32.260000,-81.630000,1,1,1986
90,0,"Eurycea quadridigitatta",1987,,32.260000,-81.630000,1,1,1987
594,0,"Eurycea quadridigitatta",1988,,32.260000,-81.630000,1,1,1988
26,0,"Eurycea quadridigitatta",1989,,32.260000,-81.630000,1,1,1989
12,0,"Eurycea quadridigitatta",1990,,32.260000,-81.630000,1,1,1990
3,0,"Eurycea quadridigitatta",1991,,32.260000,-81.630000,1,1,1991
13,0,"Eurycea quadridigitatta",1992,,32.260000,-81.630000,1,1,1992
6,0,"Eurycea quadridigitatta",1993,,32.260000,-81.630000,1,1,1993
1,0,"Eurycea quadridigitatta",1994,,32.260000,-81.630000,1,1,1994
0,0,"Eurycea quadridigitatta",1995,,32.260000,-81.630000,1,1,1995
0,0,"Eurycea quadridigitatta",1996,,32.260000,-81.630000,1,1,1996
0,0,"Eurycea quadridigitatta",1997,,32.260000,-81.630000,1,1,1997
0,0,"Eurycea quadridigitatta",1998,,32.260000,-81.630000,1,1,1998
0,0,"Eurycea quadridigitatta",1999,,32.260000,-81.630000,1,1,1999
0,0,"Eurycea quadridigitatta",2000,,32.260000,-81.630000,1,1,2000
0,0,"Eurycea quadridigitatta",2001,,32.260000,-81.630000,1,1,2001
0,0,"Eurycea quadridigitatta",2002,,32.260000,-81.630000,1,1,2002
0,0,"Eurycea quadridigitatta",2003,,32.260000,-81.630000,1,1,2003
16,0,"Eurycea quadridigitatta",2004,,32.260000,-81.630000,1,1,2004
1,0,"Eurycea quadridigitatta",2005,,32.260000,-81.630000,1,1,2005
5,0,"Eurycea quadridigitatta",2006,,32.260000,-81.630000,1,1,2006
0,0,"Eurycea quadridigitatta",2007,,32.260000,-81.630000,1,1,2007
0,0,"Eurycea quadridigitatta",2008,,32.260000,-81.630000,1,1,2008
645,0,"Gastrophryne carolinensis",1979,,32.260000,-81.630000,1,1,1979
165,0,"Gastrophryne carolinensis",1980,,32.260000,-81.630000,1,1,1980
1599,0,"Gastrophryne carolinensis",1981,,32.260000,-81.630000,1,1,1981
668,0,"Gastrophryne carolinensis",1982,,32.260000,-81.630000,1,1,1982
164,0,"Gastrophryne carolinensis",1983,,32.260000,-81.630000,1,1,1983
81,0,"Gastrophryne carolinensis",1984,,32.260000,-81.630000,1,1,1984
142,0,"Gastrophryne carolinensis",1985,,32.260000,-81.630000,1,1,1985
174,0,"Gastrophryne carolinensis",1986,,32.260000,-81.630000,1,1,1986
241,0,"Gastrophryne carolinensis",1987,,32.260000,-81.630000,1,1,1987
76,0,"Gastrophryne carolinensis",1988,,32.260000,-81.630000,1,1,1988
168,0,"Gastrophryne carolinensis",1989,,32.260000,-81.630000,1,1,1989
27,0,"Gastrophryne carolinensis",1990,,32.260000,-81.630000,1,1,1990
367,0,"Gastrophryne carolinensis",1991,,32.260000,-81.630000,1,1,1991
255,0,"Gastrophryne carolinensis",1992,,32.260000,-81.630000,1,1,1992
134,0,"Gastrophryne carolinensis",1993,,32.260000,-81.630000,1,1,1993
278,0,"Gastrophryne carolinensis",1994,,32.260000,-81.630000,1,1,1994
628,0,"Gastrophryne carolinensis",1995,,32.260000,-81.630000,1,1,1995
119,0,"Gastrophryne carolinensis",1996,,32.260000,-81.630000,1,1,1996
186,0,"Gastrophryne carolinensis",1997,,32.260000,-81.630000,1,1,1997
426,0,"Gastrophryne carolinensis",1998,,32.260000,-81.630000,1,1,1998
177,0,"Gastrophryne carolinensis",1999,,32.260000,-81.630000,1,1,1999
46,0,"Gastrophryne carolinensis",2000,,32.260000,-81.630000,1,1,2000
239,0,"Gastrophryne carolinensis",2001,,32.260000,-81.630000,1,1,2001
206,0,"Gastrophryne carolinensis",2002,,32.260000,-81.630000,1,1,2002
168,0,"Gastrophryne carolinensis",2003,,32.260000,-81.630000,1,1,2003
284,0,"Gastrophryne carolinensis",2004,,32.260000,-81.630000,1,1,2004
205,0,"Gastrophryne carolinensis",2005,,32.260000,-81.630000,1,1,2005
120,0,"Gastrophryne carolinensis",2006,,32.260000,-81.630000,1,1,2006
26,0,"Gastrophryne carolinensis",2007,,32.260000,-81.630000,1,1,2007
129,0,"Gastrophryne carolinensis",2008,,32.260000,-81.630000,1,1,2008
442,0,"Lithobates sp",1979,,32.260000,-81.630000,1,1,1979
259,0,"Lithobates sp",1980,,32.260000,-81.630000,1,1,1980
308,0,"Lithobates sp",1981,,32.260000,-81.630000,1,1,1981
89,0,"Lithobates sp",1982,,32.260000,-81.630000,1,1,1982
101,0,"Lithobates sp",1983,,32.260000,-81.630000,1,1,1983
115,0,"Lithobates sp",1984,,32.260000,-81.630000,1,1,1984
35,0,"Lithobates sp",1985,,32.260000,-81.630000,1,1,1985
13,0,"Lithobates sp",1986,,32.260000,-81.630000,1,1,1986
13,0,"Lithobates sp",1987,,32.260000,-81.630000,1,1,1987
5,0,"Lithobates sp",1988,,32.260000,-81.630000,1,1,1988
0,0,"Lithobates sp",1989,,32.260000,-81.630000,1,1,1989
19,0,"Lithobates sp",1990,,32.260000,-81.630000,1,1,1990
10,0,"Lithobates sp",1991,,32.260000,-81.630000,1,1,1991
113,0,"Lithobates sp",1992,,32.260000,-81.630000,1,1,1992
71,0,"Lithobates sp",1993,,32.260000,-81.630000,1,1,1993
3,0,"Lithobates sp",1994,,32.260000,-81.630000,1,1,1994
11,0,"Lithobates sp",1995,,32.260000,-81.630000,1,1,1995
12,0,"Lithobates sp",1996,,32.260000,-81.630000,1,1,1996
2,0,"Lithobates sp",1997,,32.260000,-81.630000,1,1,1997
9,0,"Lithobates sp",1998,,32.260000,-81.630000,1,1,1998
2,0,"Lithobates sp",1999,,32.260000,-81.630000,1,1,1999
1,0,"Lithobates sp",2000,,32.260000,-81.630000,1,1,2000
3,0,"Lithobates sp",2001,,32.260000,-81.630000,1,1,2001
2,0,"Lithobates sp",2002,,32.260000,-81.630000,1,1,2002
4,0,"Lithobates sp",2003,,32.260000,-81.630000,1,1,2003
135,0,"Lithobates sp",2004,,32.260000,-81.630000,1,1,2004
14,0,"Lithobates sp",2005,,32.260000,-81.630000,1,1,2005
3,0,"Lithobates sp",2006,,32.260000,-81.630000,1,1,2006
1,0,"Lithobates sp",2007,,32.260000,-81.630000,1,1,2007
1,0,"Lithobates sp",2008,,32.260000,-81.630000,1,1,2008
73,0,"Pseudacris crucifer",1979,,32.260000,-81.630000,1,1,1979
240,0,"Pseudacris crucifer",1980,,32.260000,-81.630000,1,1,1980
214,0,"Pseudacris crucifer",1981,,32.260000,-81.630000,1,1,1981
57,0,"Pseudacris crucifer",1982,,32.260000,-81.630000,1,1,1982
668,0,"Pseudacris crucifer",1983,,32.260000,-81.630000,1,1,1983
872,0,"Pseudacris crucifer",1984,,32.260000,-81.630000,1,1,1984
439,0,"Pseudacris crucifer",1985,,32.260000,-81.630000,1,1,1985
189,0,"Pseudacris crucifer",1986,,32.260000,-81.630000,1,1,1986
69,0,"Pseudacris crucifer",1987,,32.260000,-81.630000,1,1,1987
0,0,"Pseudacris crucifer",1988,,32.260000,-81.630000,1,1,1988
75,0,"Pseudacris crucifer",1989,,32.260000,-81.630000,1,1,1989
148,0,"Pseudacris crucifer",1990,,32.260000,-81.630000,1,1,1990
38,0,"Pseudacris crucifer",1991,,32.260000,-81.630000,1,1,1991
1080,0,"Pseudacris crucifer",1992,,32.260000,-81.630000,1,1,1992
56,0,"Pseudacris crucifer",1993,,32.260000,-81.630000,1,1,1993
29,0,"Pseudacris crucifer",1994,,32.260000,-81.630000,1,1,1994
88,0,"Pseudacris crucifer",1995,,32.260000,-81.630000,1,1,1995
80,0,"Pseudacris crucifer",1996,,32.260000,-81.630000,1,1,1996
22,0,"Pseudacris crucifer",1997,,32.260000,-81.630000,1,1,1997
17,0,"Pseudacris crucifer",1998,,32.260000,-81.630000,1,1,1998
4,0,"Pseudacris crucifer",1999,,32.260000,-81.630000,1,1,1999
4,0,"Pseudacris crucifer",2000,,32.260000,-81.630000,1,1,2000
1,0,"Pseudacris crucifer",2001,,32.260000,-81.630000,1,1,2001
2,0,"Pseudacris crucifer",2002,,32.260000,-81.630000,1,1,2002
1,0,"Pseudacris crucifer",2003,,32.260000,-81.630000,1,1,2003
110,0,"Pseudacris crucifer",2004,,32.260000,-81.630000,1,1,2004
11,0,"Pseudacris crucifer",2005,,32.260000,-81.630000,1,1,2005
2,0,"Pseudacris crucifer",2006,,32.260000,-81.630000,1,1,2006
2,0,"Pseudacris crucifer",2007,,32.260000,-81.630000,1,1,2007
0,0,"Pseudacris crucifer",2008,,32.260000,-81.630000,1,1,2008
230,0,"Pseudacris ornata",1979,,32.260000,-81.630000,1,1,1979
25,0,"Pseudacris ornata",1980,,32.260000,-81.630000,1,1,1980
308,0,"Pseudacris ornata",1981,,32.260000,-81.630000,1,1,1981
566,0,"Pseudacris ornata",1982,,32.260000,-81.630000,1,1,1982
852,0,"Pseudacris ornata",1983,,32.260000,-81.630000,1,1,1983
585,0,"Pseudacris ornata",1984,,32.260000,-81.630000,1,1,1984
135,0,"Pseudacris ornata",1985,,32.260000,-81.630000,1,1,1985
329,0,"Pseudacris ornata",1986,,32.260000,-81.630000,1,1,1986
94,0,"Pseudacris ornata",1987,,32.260000,-81.630000,1,1,1987
47,0,"Pseudacris ornata",1988,,32.260000,-81.630000,1,1,1988
37,0,"Pseudacris ornata",1989,,32.260000,-81.630000,1,1,1989
204,0,"Pseudacris ornata",1990,,32.260000,-81.630000,1,1,1990
21,0,"Pseudacris ornata",1991,,32.260000,-81.630000,1,1,1991
41,0,"Pseudacris ornata",1992,,32.260000,-81.630000,1,1,1992
42,0,"Pseudacris ornata",1993,,32.260000,-81.630000,1,1,1993
36,0,"Pseudacris ornata",1994,,32.260000,-81.630000,1,1,1994
69,0,"Pseudacris ornata",1995,,32.260000,-81.630000,1,1,1995
10,0,"Pseudacris ornata",1996,,32.260000,-81.630000,1,1,1996
0,0,"Pseudacris ornata",1997,,32.260000,-81.630000,1,1,1997
12,0,"Pseudacris ornata",1998,,32.260000,-81.630000,1,1,1998
3,0,"Pseudacris ornata",1999,,32.260000,-81.630000,1,1,1999
5,0,"Pseudacris ornata",2000,,32.260000,-81.630000,1,1,2000
3,0,"Pseudacris ornata",2001,,32.260000,-81.630000,1,1,2001
2,0,"Pseudacris ornata",2002,,32.260000,-81.630000,1,1,2002
0,0,"Pseudacris ornata",2003,,32.260000,-81.630000,1,1,2003
3,0,"Pseudacris ornata",2004,,32.260000,-81.630000,1,1,2004
0,0,"Pseudacris ornata",2005,,32.260000,-81.630000,1,1,2005
0,0,"Pseudacris ornata",2006,,32.260000,-81.630000,1,1,2006
0,0,"Pseudacris ornata",2007,,32.260000,-81.630000,1,1,2007
0,0,"Pseudacris ornata",2008,,32.260000,-81.630000,1,1,2008
19,0,"Scaphiopus holbrookii",1979,,32.260000,-81.630000,1,1,1979
4,0,"Scaphiopus holbrookii",1980,,32.260000,-81.630000,1,1,1980
5,0,"Scaphiopus holbrookii",1981,,32.260000,-81.630000,1,1,1981
36,0,"Scaphiopus holbrookii",1982,,32.260000,-81.630000,1,1,1982
64,0,"Scaphiopus holbrookii",1983,,32.260000,-81.630000,1,1,1983
4,0,"Scaphiopus holbrookii",1984,,32.260000,-81.630000,1,1,1984
2,0,"Scaphiopus holbrookii",1985,,32.260000,-81.630000,1,1,1985
22,0,"Scaphiopus holbrookii",1986,,32.260000,-81.630000,1,1,1986
61,0,"Scaphiopus holbrookii",1987,,32.260000,-81.630000,1,1,1987
6,0,"Scaphiopus holbrookii",1988,,32.260000,-81.630000,1,1,1988
5,0,"Scaphiopus holbrookii",1989,,32.260000,-81.630000,1,1,1989
11,0,"Scaphiopus holbrookii",1990,,32.260000,-81.630000,1,1,1990
22,0,"Scaphiopus holbrookii",1991,,32.260000,-81.630000,1,1,1991
8,0,"Scaphiopus holbrookii",1992,,32.260000,-81.630000,1,1,1992
34,0,"Scaphiopus holbrookii",1993,,32.260000,-81.630000,1,1,1993
253,0,"Scaphiopus holbrookii",1994,,32.260000,-81.630000,1,1,1994
28,0,"Scaphiopus holbrookii",1995,,32.260000,-81.630000,1,1,1995
900,0,"Scaphiopus holbrookii",1996,,32.260000,-81.630000,1,1,1996
99,0,"Scaphiopus holbrookii",1997,,32.260000,-81.630000,1,1,1997
10,0,"Scaphiopus holbrookii",1998,,32.260000,-81.630000,1,1,1998
0,0,"Scaphiopus holbrookii",1999,,32.260000,-81.630000,1,1,1999
12,0,"Scaphiopus holbrookii",2000,,32.260000,-81.630000,1,1,2000
1079,0,"Scaphiopus holbrookii",2001,,32.260000,-81.630000,1,1,2001
2,0,"Scaphiopus holbrookii",2002,,32.260000,-81.630000,1,1,2002
1594,0,"Scaphiopus holbrookii",2003,,32.260000,-81.630000,1,1,2003
0,0,"Scaphiopus holbrookii",2004,,32.260000,-81.630000,1,1,2004
1440,0,"Scaphiopus holbrookii",2005,,32.260000,-81.630000,1,1,2005
1,0,"Scaphiopus holbrookii",2006,,32.260000,-81.630000,1,1,2006
514,0,"Scaphiopus holbrookii",2007,,32.260000,-81.630000,1,1,2007
52,0,"Scaphiopus holbrookii",2008,,32.260000,-81.630000,1,1,2008
